[14:47:13.110] ESP-ROM:esp32s3-20210327
[14:47:13.117] Build:Mar 27 2021
[14:47:13.124] rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
[14:47:13.124] SPIWP:0xee
[14:47:13.124] mode:DIO, clock div:1
[14:47:13.130] load:0x3fce2820,len:0x10cc
[14:47:13.130] load:0x403c8700,len:0xc2c
[14:47:13.132] load:0x403cb700,len:0x30c0
[14:47:13.132] entry 0x403c88b8
[14:47:13.220] --- Sony UniLink SPY (PASSIVE SNIFFER ESP32) ---
[14:47:13.225] Podlacz ESP rownolegle do dzialajacej zmieniarki.
[14:47:13.231] Standard wyjscia dopasowany do logow UNO. Nie zapomnij o konwerterach napiecia!
[14:47:19.906] --- NOWA SEKWENCJA ---
[14:47:23.575] [GAP: 972 us] -> 01
[14:47:23.575] [GAP: 1007 us] -> 13
[14:47:23.575] [GAP: 1007 us] -> 5F
[14:47:23.580] [GAP: 1007 us] -> 00
[14:47:23.580] [GAP: 5973 us] -> 10
[14:47:23.582] [GAP: 1006 us] -> 3B
[14:47:23.582] [GAP: 1007 us] -> 00
[14:47:23.582] [GAP: 1007 us] -> C0
[14:47:23.591] [GAP: 973 us] -> 0B
[14:47:23.591] [GAP: 1007 us] -> 00
[14:47:23.596] [GAP: 5972 us] -> 31
[14:47:23.597] [GAP: 1007 us] -> 10
[14:47:23.597] [GAP: 1007 us] -> 01
[14:47:23.600] [GAP: 1007 us] -> 13
[14:47:23.600] [GAP: 972 us] -> 55
[14:47:23.607] [GAP: 1007 us] -> 00
[14:47:23.609] [GAP: 6007 us] -> 30
[14:47:23.610] [GAP: 1007 us] -> 31
[14:47:23.612] [GAP: 972 us] -> 70
[14:47:23.612] [GAP: 1007 us] -> A0
[14:47:23.620] [GAP: 1007 us] -> 71
[14:47:23.620] [GAP: 1007 us] -> 00
[14:47:23.625] [GAP: 21944 us] -> 18
[14:47:23.626] [GAP: 1007 us] -> 10
[14:47:23.626] [GAP: 973 us] -> 01
[14:47:23.630] [GAP: 1007 us] -> 15
[14:47:23.630] [GAP: 1007 us] -> 3E
[14:47:23.633] [GAP: 1007 us] -> 00
[14:47:23.633] [GAP: 5972 us] -> 10
[14:47:23.633] [GAP: 1007 us] -> 18
[14:47:23.640] [GAP: 1007 us] -> 82
[14:47:23.640] [GAP: 1007 us] -> 01
[14:47:23.640] [GAP: 972 us] -> AB
[14:47:23.647] [GAP: 1007 us] -> 00
[14:47:23.647] [GAP: 1007 us] -> 00
[14:47:23.651] [GAP: 1007 us] -> 00
[14:47:23.651] [GAP: 972 us] -> 00
[14:47:23.654] [GAP: 1007 us] -> AB
[14:47:23.654] [GAP: 1007 us] -> 00
[14:47:23.660] [GAP: 5972 us] -> 3B
[14:47:23.664] [GAP: 1007 us] -> 10
[14:47:23.664] [GAP: 1007 us] -> 01
[14:47:23.669] [GAP: 972 us] -> 13
[14:47:23.670] [GAP: 1007 us] -> 5F
